Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt,Rndrng_Prvdr_Gndr,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Drug_Ind,Place_Of_Srvc,Cluster
428.0,211.5,167.75192308,172.71076923,0,1,0,0,1
396.36,165.92802632,125.0725,125.7425,1,1,0,0,1
72.0,59.51875,41.70625,40.105,1,1,0,1,0
364.06145251,139.21650838,96.717318436,88.997290503,0,1,0,0,0
1205.0,442.7806060600001,350.73969697,361.43818182,1,1,0,0,1
38.639999999999986,11.084210525999993,8.407368421100003,8.505263157900004,0,1,0,1,0
49.0,14.882750000000001,14.882750000000001,14.779999999999994,1,1,0,0,0
62.0,22.026551724,22.026551724,21.89,0,1,0,0,0
120.0,35.088852459,25.238524589999997,25.022295082,1,1,0,0,0
219.0,66.393125,52.461875,55.769375,0,1,0,1,0
344.0,109.36302239,86.159813433,85.538320896,1,1,0,0,0
344.61403509,62.948421053,48.757719298,50.060877193,1,1,0,1,0
9.230769230799979,2.9446153845999987,2.9446153845999987,2.9399999999999977,0,1,0,0,0
304.0,56.483125,42.62625,38.65375,1,1,0,1,0
230.0,109.342,87.192,91.09,0,1,0,1,0
120.27733333,88.490333333,71.345666667,77.025,1,1,0,0,0
573.22090909,190.33030303,147.66878788,136.00969697,0,1,0,1,1
205.0,84.676153846,67.606153846,68.27,0,1,0,1,0
50.0,9.028095238100022,9.028095238100008,9.5,1,1,0,1,0
225.0,69.188965517,55.338965517,55.89,1,1,0,1,0
128.0,85.0,48.148292683,53.085365854,1,1,0,0,0
1237.6470588,325.78294117999997,260.91529412,257.05352941,0,1,0,1,1
327.84039088,47.166970684,34.846710098,33.859055375,1,1,0,1,0
206.0,70.921052632,56.781052632,55.89,1,1,0,1,0
607.8,100.1721,71.7641,74.233,0,1,0,1,0
1472.2333333,172.30316667,138.23905556,141.0145,0,1,0,1,1
1500.0,438.23740741000006,332.52037037,347.41796296,1,1,0,0,1
45.0,9.2261254613,7.280221402199999,7.330664206600005,1,1,0,0,0
183.11550152,94.206717325,66.671246201,63.755197568,1,1,0,0,0
130.0,115.17,69.184852941,67.420441176,1,1,0,0,0
15.0,4.323750000000004,4.323750000000004,4.290000000000006,1,1,0,0,0
250.0,115.35204545,80.119772727,77.375909091,1,1,0,0,0
1341.6666667,202.3175,146.07833333,129.43083333,1,1,0,0,1
40.96999999999997,1.1342245989000048,0.8678609626000053,0.8572192512999948,0,1,1,0,0
97.0,26.701875,21.321875,19.799999999999997,1,1,0,1,0
233.8,21.724000000000004,17.34400000000001,16.415999999999997,1,1,0,0,0
205.42105263,67.316315789,51.084210526,50.138947368,1,1,0,0,0
240.0,188.14660549999996,140.35550459,141.29045872,0,1,0,0,1
210.0,67.680271318,53.583682171,56.072286822,1,1,0,1,0
2691.7375,82.87,66.2,60.581666667,1,1,0,1,1
59.0,9.592500000000001,9.592500000000001,9.519999999999996,0,1,0,0,0
354.375,73.89,56.55046875,50.5196875,1,1,0,0,0
160.00000000000003,59.307951807,46.294337349,46.489036145,1,1,0,1,0
151.47058824,88.720735294,82.531911765,78.1025,1,1,0,0,0
11.0,2.8398347107000035,2.8398347107000035,2.9399999999999977,1,1,0,0,0
425.0,96.9153125,59.770625,55.9321875,1,1,0,0,0
280.0,63.573333333,41.467619048,37.528095238,1,1,0,0,0
242.68,79.1384,58.658,61.6368,1,1,0,1,0
10.193181818000028,6.046431818200006,4.496386363599996,5.157840909100003,0,1,0,0,0
18.0,11.819999999999993,4.7283333333,4.633333333300001,0,1,1,0,0
80.0,32.6375,21.593333333000004,23.161666667,1,1,0,0,0
141.08000000000004,70.343888889,41.748888889,38.985555556,0,1,0,0,0
354.90909091,104.94690909,70.232909091,73.194363636,0,1,0,0,0
1200.0,433.26750000000004,433.2675,345.12916667,1,1,0,0,1
175.0,130.1252907,86.804593023,86.44372093,0,1,0,0,0
445.0,189.92125,151.42125,155.47,0,1,0,1,1
47.0,14.354024390000006,10.928658537000004,10.879146340999995,1,1,0,0,0
107.66176471,79.886397059,52.208382353,55.046691176,1,1,0,0,0
220.0,39.600434783,28.830434783,28.596956522,1,1,0,0,0
1916.0,175.31533333,140.25533333,145.98,0,1,0,1,1
60.50666666699999,11.490399999999994,8.3413333333,7.909733333299997,1,1,0,1,0
30.0,8.28515625,6.3253124999999955,6.206718750000007,1,1,0,1,0
501.0,49.8775,39.761785714,39.364285714,1,1,0,1,0
182.59259259,87.116481481,67.852962963,70.612222222,1,1,0,0,0
75.0,37.312307692,27.367692308000002,30.103333332999995,1,1,0,0,0
293.0,71.931025641,56.154102564,53.455384615,0,1,0,1,0
75.0,49.117307692,33.076538462,31.406923077000002,1,1,0,0,0
316.0,79.026724138,57.375344828,60.54862069,1,1,0,0,0
391.08888889,333.41555556,221.84722222,220.14833333,1,1,0,0,1
274.35849057,144.32603774,110.65509434,117.68773585,0,1,0,0,1
112.57999999999998,111.14166667,88.6925,80.31,0,1,0,0,0
140.5412844,48.932614679,32.655642202,34.499174312,0,1,0,0,0
227.0,55.646,55.646,50.0645,1,1,0,1,0
24.0,5.6213888889,5.6213888889,5.659999999999997,1,1,0,0,0
492.91666667,131.09833333,104.9575,104.46833333,0,1,0,1,1
42.63157894699998,6.395263157900004,4.844736842100005,5.170000000000002,1,1,0,1,0
295.0,76.171428571,52.332030075,53.161428571,1,1,0,0,0
100.0,21.256862745000006,16.91019607799999,18.237132353,1,1,0,0,0
260.0,150.87566667,120.39733333,89.801666667,0,1,0,0,0
190.0,85.49525974,66.614253247,69.524480519,1,1,0,0,0
230.0,69.907407407,53.897777778,52.123333333,1,1,0,1,0
116.99999999999997,30.753076922999995,24.623076923,24.439999999999998,1,1,0,1,0
124.99999999999997,35.412727273,20.733636364,19.682727272999998,0,1,0,0,0
697.5,254.34,202.02750000000003,202.1275,1,1,0,1,1
